opportunity_id,split
OPP-01034,train
OPP-02678,train
OPP-02877,train
OPP-02008,train
OPP-01504,train
OPP-02925,train
OPP-01483,train
OPP-02643,train
OPP-02874,train
OPP-02322,train
OPP-02834,train
OPP-01480,train
OPP-00915,train
OPP-01788,train
OPP-01236,train
OPP-02746,train
OPP-00501,train
OPP-00060,train
OPP-00545,train
OPP-02090,train
OPP-01891,train
OPP-00846,train
OPP-00603,train
OPP-00950,train
OPP-02367,train
OPP-00195,train
OPP-02742,train
OPP-00063,train
OPP-01343,train
OPP-01655,train
OPP-01768,train
OPP-02110,train
OPP-02652,train
OPP-02209,train
OPP-02450,train
OPP-01910,train
OPP-02835,train
OPP-01897,train
OPP-02687,train
OPP-01307,train
OPP-01445,train
OPP-00972,train
OPP-02503,train
OPP-00203,train
OPP-00118,train
OPP-01961,train
OPP-00143,train
OPP-00577,train
OPP-00608,train
OPP-02230,train
OPP-00918,train
OPP-00321,train
OPP-00655,train
OPP-02192,train
OPP-01534,train
OPP-02219,train
OPP-01200,train
OPP-02292,train
OPP-01047,train
OPP-01963,train
OPP-00866,train
OPP-02473,train
OPP-02195,train
OPP-02711,train
OPP-00417,train
OPP-01066,train
OPP-00521,train
OPP-02188,train
OPP-01542,train
OPP-02472,train
OPP-02125,train
OPP-01640,train
OPP-00987,train
OPP-01556,train
OPP-01404,train
OPP-02467,train
OPP-02006,train
OPP-02829,train
OPP-00124,train
OPP-02763,train
OPP-01636,train
OPP-01497,train
OPP-00257,train
OPP-01370,train
OPP-01260,train
OPP-01435,train
OPP-02021,train
OPP-01581,train
OPP-00027,train
OPP-01867,train
OPP-00967,train
OPP-02013,train
OPP-01321,train
OPP-02523,train
OPP-00688,train
OPP-00647,train
OPP-02876,train
OPP-02613,train
OPP-01561,train
OPP-02779,train
OPP-02983,train
OPP-00495,train
OPP-00266,train
OPP-00017,train
OPP-00368,train
OPP-01958,train
OPP-01286,train
OPP-01881,train
OPP-00960,train
OPP-00687,train
OPP-01530,train
OPP-00066,train
OPP-00211,train
OPP-02869,train
OPP-01136,train
OPP-02432,train
OPP-01472,train
OPP-00632,train
OPP-00878,train
OPP-01436,train
OPP-02547,train
OPP-00980,train
OPP-00616,train
OPP-00513,train
OPP-02861,train
OPP-00906,train
OPP-00559,train
OPP-00899,train
OPP-02879,train
OPP-02761,train
OPP-01196,train
OPP-00735,train
OPP-02466,train
OPP-02568,train
OPP-02579,train
OPP-02838,train
OPP-00239,train
OPP-02908,train
OPP-02469,train
OPP-01452,train
OPP-00801,train
OPP-02482,train
OPP-02069,train
OPP-00558,train
OPP-01676,train
OPP-02717,train
OPP-00092,train
OPP-00710,train
OPP-01979,train
OPP-01315,train
OPP-02221,train
OPP-02277,train
OPP-02881,train
OPP-01319,train
OPP-02807,train
OPP-00473,train
OPP-02580,train
OPP-01719,train
OPP-01695,train
OPP-01991,train
OPP-00825,train
OPP-01326,train
OPP-00177,train
OPP-02993,train
OPP-01266,train
OPP-02833,train
OPP-00088,train
OPP-01738,train
OPP-02440,train
OPP-02769,train
OPP-02389,train
OPP-00275,train
OPP-02313,train
OPP-00367,train
OPP-00614,train
OPP-02156,train
OPP-02964,train
OPP-01090,train
OPP-02688,train
OPP-01092,train
OPP-02204,train
OPP-02201,train
OPP-02449,train
OPP-01221,train
OPP-00534,train
OPP-01893,train
OPP-00069,train
OPP-00516,train
OPP-01067,train
OPP-02625,train
OPP-02369,train
OPP-00542,train
OPP-01152,train
OPP-00068,train
OPP-01001,train
OPP-00444,train
OPP-02379,train
OPP-02118,train
OPP-02334,train
OPP-01243,train
OPP-02934,train
OPP-00362,train
OPP-02298,train
OPP-01122,train
OPP-01691,train
OPP-01407,train
OPP-02290,train
OPP-00790,train
OPP-02980,train
OPP-02435,train
OPP-01970,train
OPP-01229,train
OPP-01412,train
OPP-01547,train
OPP-02994,train
OPP-01114,train
OPP-01652,train
OPP-02663,train
OPP-01706,train
OPP-02120,train
OPP-02596,train
OPP-02607,train
OPP-02776,train
OPP-02710,train
OPP-00476,train
OPP-02387,train
OPP-01455,train
OPP-02534,train
OPP-00732,train
OPP-00293,train
OPP-00310,train
OPP-02967,train
OPP-00970,train
OPP-01449,train
OPP-00625,train
OPP-01505,train
OPP-01348,train
OPP-00209,train
OPP-01470,train
OPP-01185,train
OPP-00951,train
OPP-00686,train
OPP-02122,train
OPP-02664,train
OPP-02368,train
OPP-02662,train
OPP-02289,train
OPP-00336,train
OPP-00620,train
OPP-02311,train
OPP-02337,train
OPP-00291,train
OPP-00758,train
OPP-01227,train
OPP-01815,train
OPP-00963,train
OPP-00427,train
OPP-00703,train
OPP-01790,train
OPP-02461,train
OPP-01770,train
OPP-00633,train
OPP-00224,train
OPP-02150,train
OPP-00897,train
OPP-00859,train
OPP-02713,train
OPP-01489,train
OPP-00873,train
OPP-00023,train
OPP-01742,train
OPP-01839,train
OPP-02962,train
OPP-01382,train
OPP-01426,train
OPP-02089,train
OPP-01172,train
OPP-00533,train
OPP-00720,train
OPP-01209,train
OPP-02420,train
OPP-02247,train
OPP-02727,train
OPP-02003,train
OPP-01250,train
OPP-00907,train
OPP-02942,train
OPP-02660,train
OPP-02674,train
OPP-01608,train
OPP-00103,train
OPP-01334,train
OPP-02766,train
OPP-01548,train
OPP-02591,train
OPP-00433,train
OPP-01474,train
OPP-00586,train
OPP-00281,train
OPP-01352,train
OPP-01115,train
OPP-01191,train
OPP-01657,train
OPP-01469,train
OPP-00591,train
OPP-00983,train
OPP-01952,train
OPP-01415,train
OPP-01467,train
OPP-01526,train
OPP-02183,train
OPP-01068,train
OPP-00464,train
OPP-01043,train
OPP-00166,train
OPP-00354,train
OPP-00087,train
OPP-01623,train
OPP-01692,train
OPP-02478,train
OPP-00568,train
OPP-01409,train
OPP-00498,train
OPP-02656,train
OPP-02794,train
OPP-01459,train
OPP-00346,train
OPP-02873,train
OPP-00384,train
OPP-00657,train
