opportunity_id,created_at,owner_email,region,industry,customer_segment,product_line,sales_stage,estimated_value,days_in_pipeline,engagement_score,meetings_count,competitor_present,discount_pct,proposal_sent,notes,outcome,actual_revenue,close_reason
OPP-00745,2025-08-16 05:34:00,[REDACTED_EMAIL],South,technology,Enterprise,data_platform,qualification,9294.52,45,26,9,False,0.014,True,Engagement has slowed and the proposal has not received internal sponsorship.,won,8785.18,Strong executive sponsorship and clear ROI case.
OPP-00679,2025-03-17 21:54:00,[REDACTED_EMAIL],Northeast,retail,SMB,automation,proposal,20873.79,145,55,0,True,0.018,True,The customer delayed the project and has not confirmed a decision timeline.,lost,0.0,Budget or timing constraints prevented the purchase.
OPP-02290,2025-03-20 14:06:00,[REDACTED_EMAIL],Midwest,manufacturing,SMB,data_platform,qualification,121432.0,74,31,8,True,0.09,False,A strong competitor is already deployed and switching costs are a concern.,won,121791.54,Good product fit and timely stakeholder engagement.
OPP-02488,2025-11-27 12:15:00,[REDACTED_EMAIL],South,financial_services,Mid-Market,analytics,discovery,54763.12,65,63,7,True,0.139,True,The opportunity remains active but timing depends on the next planning cycle.,won,51430.72,Strong executive sponsorship and clear ROI case.
OPP-00943,2025-05-22 13:45:00,[REDACTED_EMAIL],Northeast,financial_services,SMB,automation,negotiation,11074.03,43,43,2,True,0.123,True,Customer is still comparing alternatives and gathering internal feedback. Primary contact: [REDACTED_EMAIL].,lost,0.0,Insufficient stakeholder engagement and unclear business case.
OPP-02822,2026-01-25 01:30:00,[REDACTED_EMAIL],Midwest,healthcare,SMB,security,proposal,6652.31,107,89,8,False,0.011,True,Technical evaluation is progressing well and the customer requested implementation details.,won,6642.38,Good product fit and timely stakeholder engagement.
OPP-00290,2025-02-27 04:34:00,[REDACTED_EMAIL],Northeast,technology,Mid-Market,data_platform,qualification,26326.93,41,82,4,True,0.022,False,Stakeholders are interested but the business case is still being refined.,won,27002.09,Good product fit and timely stakeholder engagement.
OPP-00434,2025-04-18 15:25:00,[REDACTED_EMAIL],Midwest,manufacturing,Mid-Market,data_platform,proposal,41090.3,13,61,10,False,0.008,True,Discovery is ongoing and the team requested additional product information.,won,42071.09,Successful technical evaluation with approved budget.
OPP-02673,2025-05-11 13:55:00,[REDACTED_EMAIL],Northeast,healthcare,Mid-Market,data_platform,discovery,9969.6,175,24,0,False,0.229,True,The customer delayed the project and has not confirmed a decision timeline.,lost,0.0,Budget or timing constraints prevented the purchase.
OPP-02474,2025-12-10 13:04:00,[REDACTED_EMAIL],Midwest,manufacturing,SMB,automation,discovery,12609.75,161,46,3,False,0.205,False,Discovery is ongoing and the team requested additional product information.,lost,0.0,Budget or timing constraints prevented the purchase.
