opportunity_id,created_at,owner_email,region,industry,customer_segment,product_line,sales_stage,estimated_value,days_in_pipeline,engagement_score,meetings_count,competitor_present,discount_pct,proposal_sent,notes,outcome,actual_revenue,close_reason
OPP-00745,2025-08-16T05:34:00,analyst04@example.com,South,technology,Enterprise,data_platform,qualification,9294.52,45,26,9,False,0.014,True,Engagement has slowed and the proposal has not received internal sponsorship.,won,8785.18,Strong executive sponsorship and clear ROI case.
OPP-00679,2025-03-17T21:54:00,analyst52@example.com,Northeast,retail,SMB,automation,proposal,20873.79,145,55,0,True,0.018,True,The customer delayed the project and has not confirmed a decision timeline.,lost,0.0,Budget or timing constraints prevented the purchase.
OPP-02290,2025-03-20T14:06:00,analyst10@example.com,Midwest,manufacturing,SMB,data_platform,qualification,121432.0,74,31,8,True,0.09,False,A strong competitor is already deployed and switching costs are a concern.,won,121791.54,Good product fit and timely stakeholder engagement.
OPP-02488,2025-11-27T12:15:00,analyst37@example.com,South,financial_services,Mid-Market,analytics,discovery,54763.12,65,63,7,True,0.139,True,The opportunity remains active but timing depends on the next planning cycle.,won,51430.72,Strong executive sponsorship and clear ROI case.
OPP-00943,2025-05-22T13:45:00,analyst31@example.com,Northeast,financial_services,SMB,automation,negotiation,11074.03,43,43,2,True,0.123,True,Customer is still comparing alternatives and gathering internal feedback. Primary contact: buyer099@example.com.,lost,0.0,Insufficient stakeholder engagement and unclear business case.
OPP-02822,2026-01-25T01:30:00,analyst29@example.com,Midwest,healthcare,SMB,security,proposal,6652.31,107,89,8,False,0.011,True,Technical evaluation is progressing well and the customer requested implementation details.,won,6642.38,Good product fit and timely stakeholder engagement.
OPP-00290,2025-02-27T04:34:00,analyst05@example.com,Northeast,technology,Mid-Market,data_platform,qualification,26326.93,41,82,4,True,0.022,False,Stakeholders are interested but the business case is still being refined.,won,27002.09,Good product fit and timely stakeholder engagement.
OPP-00434,2025-04-18T15:25:00,analyst35@example.com,Midwest,manufacturing,Mid-Market,data_platform,proposal,41090.3,13,61,10,False,0.008,True,Discovery is ongoing and the team requested additional product information.,won,42071.09,Successful technical evaluation with approved budget.
OPP-02673,2025-05-11T13:55:00,analyst51@example.com,Northeast,healthcare,Mid-Market,data_platform,discovery,9969.6,175,24,0,False,0.229,True,The customer delayed the project and has not confirmed a decision timeline.,lost,0.0,Budget or timing constraints prevented the purchase.
OPP-02474,2025-12-10T13:04:00,analyst23@example.com,Midwest,manufacturing,SMB,automation,discovery,12609.75,161,46,3,False,0.205,False,Discovery is ongoing and the team requested additional product information.,lost,0.0,Budget or timing constraints prevented the purchase.
OPP-00145,2025-10-10T00:29:00,analyst31@example.com,Midwest,financial_services,Mid-Market,automation,proposal,21813.87,66,78,6,True,0.14,True,The opportunity remains active but timing depends on the next planning cycle.,lost,0.0,Budget or timing constraints prevented the purchase.
OPP-00045,2026-02-21T16:53:00,analyst45@example.com,Midwest,technology,SMB,data_platform,negotiation,37505.31,43,72,8,False,0.093,True,Technical evaluation is progressing well and the customer requested implementation details.,lost,0.0,Budget or timing constraints prevented the purchase.
OPP-00064,2025-12-21T16:31:00,analyst07@example.com,Midwest,healthcare,Mid-Market,analytics,negotiation,25119.42,160,71,6,True,0.211,True,Engagement has slowed and the proposal has not received internal sponsorship. Primary contact: buyer064@example.com.,won,24984.62,Good product fit and timely stakeholder engagement.
OPP-02715,2025-06-06T12:15:00,analyst36@example.com,West,financial_services,SMB,analytics,proposal,99819.27,112,82,9,True,0.077,True,Budget is uncertain and the main decision maker has not joined recent meetings.,won,98747.08,Strong executive sponsorship and clear ROI case.
OPP-02010,2025-05-22T12:24:00,analyst15@example.com,South,technology,Mid-Market,automation,proposal,43600.28,50,92,3,False,0.1,True,Decision makers attended the latest meeting and asked for a final proposal.,won,40610.42,Successful technical evaluation with approved budget.
OPP-01722,2025-02-11T23:44:00,analyst12@example.com,Midwest,retail,Mid-Market,security,discovery,26390.04,159,27,7,False,0.066,False,Budget is uncertain and the main decision maker has not joined recent meetings.,lost,0.0,Budget or timing constraints prevented the purchase.
OPP-00197,2025-07-31T22:14:00,analyst26@example.com,West,retail,Enterprise,automation,discovery,26493.62,110,92,8,True,0.196,False,A strong competitor is already deployed and switching costs are a concern. Primary contact: buyer197@example.com.,lost,0.0,Insufficient stakeholder engagement and unclear business case.
OPP-00185,2025-01-15T17:00:00,analyst14@example.com,Northeast,financial_services,SMB,automation,qualification,8875.24,36,61,10,False,0.105,False,Customer is still comparing alternatives and gathering internal feedback.,lost,0.0,Insufficient stakeholder engagement and unclear business case.
OPP-02038,2025-03-23T16:08:00,analyst43@example.com,South,technology,SMB,data_platform,discovery,15935.99,29,61,0,True,0.071,True,Discovery is ongoing and the team requested additional product information.,lost,0.0,Budget or timing constraints prevented the purchase.
OPP-00760,2025-12-10T10:57:00,analyst19@example.com,Midwest,financial_services,Mid-Market,security,negotiation,39555.37,114,78,1,False,0.222,True,Technical evaluation is progressing well and the customer requested implementation details.,lost,0.0,Budget or timing constraints prevented the purchase.
OPP-00193,2025-08-11T03:14:00,analyst22@example.com,West,financial_services,SMB,security,proposal,18313.55,119,55,1,False,0.209,True,Customer is still comparing alternatives and gathering internal feedback.,won,18788.77,Good product fit and timely stakeholder engagement.
OPP-00868,2025-09-11T18:18:00,analyst13@example.com,South,technology,SMB,data_platform,negotiation,22578.63,168,72,5,True,0.22,True,The customer delayed the project and has not confirmed a decision timeline.,lost,0.0,Insufficient stakeholder engagement and unclear business case.
